OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
Department of Homeland Security,Citizenship and Immigration Services    ,Department of Homeland Security,Federal Emergency Management Agency,DEPARTMENT OF HOMELAND SECURITY HS,BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES HSAB,Homeland Security Department,Coast Guard,"Homeland Security, Department of",Coast Guard,,,,,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Department of Homeland Security,DHS Office of Inspector General,United States Secret Service,70,1,,Department of Homeland Security,Federal Emergency Management Agency,,
Department of Homeland Security,Countering Weapons of Mass Destruction Office    ,Department of Homeland Security,Transportation Security Administration,DEPARTMENT OF HOMELAND SECURITY HS,U.S. COAST GUARD HSAC,Homeland Security Department,Federal Emergency Management Agency,"Homeland Security, Department of",Coast Guard (Great Lakes Pilotage),,,,,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",Department of Homeland Security,Federal Emergency Management Agency,United States Coast Guard,70,2,,Department of Homeland Security,Federal Law Enforcement Training Center,,
Department of Homeland Security,Cybersecurity and Infrastructure Security Agency    ,Department of Homeland Security,U.S. Customs and Border Protection,DEPARTMENT OF HOMELAND SECURITY HS,U.S. SECRET SERVICE HSAD,Homeland Security Department,Federal Law Enforcement Training Center,"Homeland Security, Department of",Department of Homeland Security Acquisition Regulation,,,,,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Law Enforcement Training Accredidation,Departmental Operations (Immediate Office of the Secretary),70,3,,Department of Homeland Security,Transportation Security Administration,,
Department of Homeland Security,Department of Homeland Security    ,Department of Homeland Security,U.S. Immigration and Customs Enforcement,DEPARTMENT OF HOMELAND SECURITY HS,OFFICE OF THE INSPECTOR GENERAL HSAE,Homeland Security Department,National Communications System,"Homeland Security, Department of",Federal Emergency Management Agency,,,,,Department of Homeland Security,Federal Law Enforcement Training Center,Department of Homeland Security,Federal Law Enforcement Training Center,Bureau of Citizenship and Immigration Services,70,4,,Department of Homeland Security,United States Citizenship and Immigration Services,,
Department of Homeland Security,Federal Emergency Management Agency    ,Department of Homeland Security,United States Citizenship and Immigration Services,DEPARTMENT OF HOMELAND SECURITY HS,BUREAU OF IMMIGRATION AND CUSTOMS ENFORCEMENT HSBB,Homeland Security Department,Secret Service,"Homeland Security, Department of",Federal Law Enforcement Training Center,,,,,Department of Homeland Security,Headquarters,Department of Homeland Security,Federal Law Enforcement Training Centers,Office of the Inspector General,70,6,,Department of Homeland Security,United States Coast Guard,,
Department of Homeland Security,Federal Law Enforcement Training Center    ,Department of Homeland Security,United States Coast Guard,DEPARTMENT OF HOMELAND SECURITY HS,TRANSPORTATION SECURITY ADMINISTRATION HSBC,Homeland Security Department,Transportation Security Administration,"Homeland Security, Department of",Human Resources Management System (Homeland Security - Office of Personnel Management),,,,,Department of Homeland Security,National Marine Center,Department of Homeland Security,Headquarters,DHS/Intelligence & Analysis,70,9,,Department of Homeland Security,United States Customs and Border Protection,,
Department of Homeland Security,Management Directorate    ,Department of Homeland Security,United States Secret Service,DEPARTMENT OF HOMELAND SECURITY HS,BUREAU OF CUSTOMS AND BORDER PROTECTION HSBD,Homeland Security Department,U.S. Citizenship and Immigration Services,"Homeland Security, Department of",Office of the Secretary of Homeland Security,,,,,Department of Homeland Security,Office for Domestic Preparedness,Department of Homeland Security,"Inaccessible, U.S. Customs and Border Protection",Office of the Under Secretary for Management,70,10,,Department of Homeland Security,United States Immigration and Customs Enforcement,,
Department of Homeland Security,Office of Health Affairs    ,Department of Homeland Security,,DEPARTMENT OF HOMELAND SECURITY HS,FEDERAL LAW ENFORCEMENT TRAINING CENTER HSBE,Homeland Security Department,U.S. Customs and Border Protection,"Homeland Security, Department of",Secret Service,,,,,Department of Homeland Security,Office of Public Affairs,Department of Homeland Security,"Server error - loads IIS welcome page, U.S. Customs and Border Protection",Federal Air Marshal Service,70,11,,Department of Homeland Security,United States Secret Service,,
Department of Homeland Security,Office of the Inspector General    ,,,DEPARTMENT OF HOMELAND SECURITY HS,FEDERAL EMERGENCY MANAGEMENT AGENCY HSCB,Homeland Security Department,U.S. Immigration and Customs Enforcement,"Homeland Security, Department of",Transportation Security Administration,,,,,Department of Homeland Security,Office of the Chief Information Officer,Department of Homeland Security,"Server errpr - loads IIS welcome page, U.S. Customs and Border Protection",National Protection Program Directorate,70,21,,Department of Homeland Security,,,
Department of Homeland Security,Office of the Secretary and Executive Management    ,,,DEPARTMENT OF HOMELAND SECURITY HS,DOMESTIC NUCLEAR DETECTION OFFICE HSDA,,,"Homeland Security, Department of",U.S. Customs and Border Protection,,,,,Department of Homeland Security,Science and Technology,Department of Homeland Security,"SSL/Cert error, Transportation Security Administration",Critical Infrastructure Assurance Office (Commerce - NOAA),70,22,,,,,
Department of Homeland Security,Science and Technology    ,,,DEPARTMENT OF HOMELAND SECURITY HS,OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY HSFA,,,,,,,,,Department of Homeland Security,Transportation Security Administration,Department of Homeland Security,"SSL/Cert error, U.S. Customs and Border Protection",National Infrastructure Simulation and Analysis Center (DOE),70,23,,,,,
Department of Homeland Security,Transportation Security Administration    ,,,,,,,,,,,,,Department of Homeland Security,U. S. Coast Guard C5I Service Center,Department of Homeland Security,Transportation Security Administration,Energy Security and Assurance Program (DOE),70,24,,,,,
Department of Homeland Security,U.S. Customs and Border Protection    ,,,,,,,,,,,,,Department of Homeland Security,U.S. Customs and Border Protection,Department of Homeland Security,U.S. Citizenship and Immigration Services,National Communications System (DFAS),70,25,,,,,
Department of Homeland Security,U.S. Immigration and Customs Enforcement    ,,,,,,,,,,,,,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Department of Homeland Security,U.S. Coast Guard,National Infrastructure Protection Center (FBI),70,26,,,,,
Department of Homeland Security,United States Coast Guard    ,,,,,,,,,,,,,Department of Homeland Security,United States Secret Service,Department of Homeland Security,U.S. Customs and Border Protection,Federal Computer Incident Response Center (GSA),70,27,,,,,
Department of Homeland Security,United States Secret Service    ,,,,,,,,,,,,,Department of Homeland Security,US-CERT,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Office of the Under Secretary for Science and Technology,70,31,,,,,
,,,,,,,,,,,,,,Department of Homeland Security,US-VISIT,Department of Homeland Security,United States Secret Service,Environmental Measurements Laboratory (DOE),70,32,,,,,
,,,,,,,,,,,,,,Department of Homeland Security,USCIS,,,National Bio-Weapons Defense Analysis Center,70,33,,,,,
,,,,,,,,,,,,,,,,,,DHS/Domestic Nuclear Detection Office,70,34,,,,,
,,,,,,,,,,,,,,,,,,Federal Emergency Management Agency (FEMA) Headquarters,70,41,,,,,
,,,,,,,,,,,,,,,,,,"Disaster Finance Center, Berryville, VA",70,42,,,,,
,,,,,,,,,,,,,,,,,,Working Capital Fund,70,43,,,,,
,,,,,,,,,,,,,,,,,,"National Emergency Training Center, Emmitsburg, MD",70,44,,,,,
,,,,,,,,,,,,,,,,,,Federal Insurance Administration,70,45,,,,,
,,,,,,,,,,,,,,,,,,"National Disaster Medical System, Metropolitan Medical Response System",70,46,,,,,
,,,,,,,,,,,,,,,,,,Strategic National Stockpile (HHS),70,47,,,,,
,,,,,,,,,,,,,,,,,,Fire Satellite System (FIRESAT - NOAA),70,48,,,,,
,,,,,,,,,,,,,,,,,,"Office of the Under Secretary, Emergency Preparedness and Response",70,49,,,,,
,,,,,,,,,,,,,,,,,,U.S. VISIT Program Office,70,50,,,,,
,,,,,,,,,,,,,,,,,,"DHS, Customs and Border Protection",70,51,,,,,
,,,,,,,,,,,,,,,,,,"DHS, National Law Enforcement Communications Center, Orlando, FL",70,52,,,,,
,,,,,,,,,,,,,,,,,,Animal and Plant Health Inspection Service (APHIS),70,53,,,,,
,,,,,,,,,,,,,,,,,,Transportation Security Administration,70,54,,,,,
,,,,,,,,,,,,,,,,,,Immigration and Customs Enforcement,70,55,,,,,
,,,,,,,,,,,,,,,,,,Federal Protective Service (GSA),70,56,,,,,
,,,,,,,,,,,,,,,,,,"Federal Law Enforcement Training Center, Glynco, GA",70,57,,,,,
,,,,,,,,,,,,,,,,,,Office of Domestic Preparedness (DOJ),70,58,,,,,
,,,,,,,,,,,,,,,,,,DHS/Operations Coordination,70,59,,,,,
Department of Housing and Urban Development,Community Planning and Development    ,Department of Housing and Urban Development,Federal Housing Administration Fund,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND HU01,Housing and Urban Development Department,,"Housing and Urban Development, Department of",--,Department of Housing and Urban Development,Department of Housing and Urban Development,U.S. Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,86,0,"Housing & Urban Development, Dept of (HUD)",Department of Housing and Urban Development,Center for Faith Based and Community Initiatives,Department of Housing and Urban Development,Department of Housing and Urban Development
Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,Government National Mortgage Association,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY HU02,Housing and Urban Development Department,Federal Housing Enterprise Oversight Office,"Housing and Urban Development, Department of",Government National Mortgage Association,,,,,Department of Housing and Urban Development,Government National Mortgage Association,Department of Housing and Urban Development,Government National Mortgage Association,Office of the Secretary,86,1,,Department of Housing and Urban Development,Federal Housing Administration,,
Department of Housing and Urban Development,Fair Housing and Equal Opportunity    ,Department of Housing and Urban Development,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR MID HU03,Housing and Urban Development Department,Government National Mortgage Association,"Housing and Urban Development, Department of",Office of Assistant Secretary for Community Planning and Development,,,,,Department of Housing and Urban Development,Office of Inspector General,Department of Housing and Urban Development,Office of Inspector General,Office of General Counsel,86,2,,Department of Housing and Urban Development,Government National Mortgage Association,,
Department of Housing and Urban Development,Government National Mortgage Association    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN HU04,,,"Housing and Urban Development, Department of",Office of Assistant Secretary for Equal Opportunity,,,,,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Assistant Secretary for Metropolitan Planning and Development,86,3,,Department of Housing and Urban Development,Office of Community Planning and Development,,
Department of Housing and Urban Development,Housing Programs    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST HU05,,,"Housing and Urban Development, Department of",Office of Assistant Secretary for Housing - Federal Housing Commissioner,,,,,Department of Housing and Urban Development,Web Master  Pulic Affair,Department of Housing and Urban Development,Web Master Pulic Affair,Assistant Secretary for PD&R,86,4,,Department of Housing and Urban Development,Office of Fair Housing and Equal Opportunity,,
Department of Housing and Urban Development,Housing Supply    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST HU06,,,"Housing and Urban Development, Department of",Office of Assistant Secretary for Public and Indian Housing,,,,,,,,,Assistant Secretary for Housing Production and Mortgage Credit and Federal Housing Commissioner,86,5,,Department of Housing and Urban Development,Office of Field Policy and Management,,
Department of Housing and Urban Development,Management and Administration    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS HU07,,,"Housing and Urban Development, Department of",Office of Federal Housing Enterprise Oversight,,,,,,,,,Assistant Secretary for EO,86,6,,Department of Housing and Urban Development,Office of Healthy Homes and Lead Hazard Control,,
Department of Housing and Urban Development,Office of Lead Hazard Control and Healthy Homes    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS HU08,,,"Housing and Urban Development, Department of",Office of Housing and Multifamily Housing Assistance Restructuring,,,,,,,,,Government National Mortgage Association,86,7,,Department of Housing and Urban Development,Office of Housing Counseling,,
Department of Housing and Urban Development,Policy Development and Research    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII HU09,,,"Housing and Urban Development, Department of","Office of Inspector General, Housing and Urban Development",,,,,,,,,Office of Personnel-Union Conference Calls,86,8,,Department of Housing and Urban Development,Office of Public and Indian Housing,,
Department of Housing and Urban Development,Public and Indian Housing Programs    ,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA HU10,,,"Housing and Urban Development, Department of",Office of Secretary,,,,,,,,,Assistant Secretary for Housing Management,86,11,,Department of Housing and Urban Development,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT HUAA,,,"Housing and Urban Development, Department of",Office of Secretary (Housing Assistance Programs and Public and Indian Housing Programs),,,,,,,,,Field Offices,86,12,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR ADMINISTRATION HUBB,,,,,,,,,,,,,Assistant Secretary for Administration,86,13,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF GENERAL COUNSEL HUCC,,,,,,,,,,,,,National Commission on Neighborhoods,86,14,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT HUDD,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY HUEE,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE CHIEF FINANCIAL OFFICER HUFF,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF INSPECTOR GENERAL HUGG,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF DEPARTMENTAL OPERATIONS AND COORDINATION HUII,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS HUJJ,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,CENTER FOR FAITH HUKA,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF FIELD POLICY AND MANAGEMENT HUKK,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL HULL,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR HOUSING HUMM,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE CHIEF PROCUREMENT OFFICER HUNN,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING HUPP,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF THE CHIEF INFORMATION OFFICER HUQQ,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR POLICY DEVELOPMENT AND RESEARCH HURR,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE) HUTT,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,OFFICE OF DEPARTMENTAL EQUAL EMPLOYMENT OPPORTUNITY HUUU,,,,,,,,,,,,,,,,,,,,
,,,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT HU,ASSISTANT SECRETARY FOR PUBLIC AFFAIRS HUWW,,,,,,,,,,,,,,,,,,,,
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives    ",Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",DEPARTMENT OF JUSTICE DJ,UNSPECIFIED DJ**,Justice Department,,"Justice, Department of",--,Department of Justice,Department of Justice,U.S. Department of Justice,Department of Justice,Department of Justice,Antitrust Division,Department of Justice,Authoritative; Executive Office for Immigration Review,Department of Justice,15,0,"Justice, Dept of (DOJ)",Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Department of Justice,Department of Justice
Department of Justice,Department of Justice    ,Department of Justice,Bureau of Prisons,DEPARTMENT OF JUSTICE DJ,"OFFICES, BOARDS AND DIVISIONS DJ01",Justice Department,"Alcohol, Tobacco, Firearms, and Explosives Bureau","Justice, Department of","Bureau of Alcohol, Tobacco, Firearms, and Explosives",,,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",United States Trustees,15,1,,Department of Justice,Bureau of Prisons,,
Department of Justice,Drug Enforcement Administration    ,Department of Justice,Drug Enforcement Administration,DEPARTMENT OF JUSTICE DJ,FEDERAL BUREAU OF INVESTIGATION DJ02,Justice Department,Antitrust Division,"Justice, Department of",Bureau of Prisons,,,,,Department of Justice,Civil Rights Division,Department of Justice,Civil Division,Justice Management Division,15,2,,Department of Justice,Civil Rights Division,,
Department of Justice,Federal Bureau of Investigation    ,Department of Justice,Executive Office for Immigration Review,DEPARTMENT OF JUSTICE DJ,BUREAU OF PRISONS/FEDERAL PRISON SYSTEM DJ03,Justice Department,Drug Enforcement Administration,"Justice, Department of",Drug Enforcement Administration,,,,,Department of Justice,Criminal Division,Department of Justice,Civil Rights Division,Antitrust Division,15,3,,Department of Justice,Community Relations Service,,
Department of Justice,Federal Prison System    ,Department of Justice,Executive Office for U.S. Attorneys,DEPARTMENT OF JUSTICE DJ,DRUG ENFORCEMENT ADMINISTRATION DJ06,Justice Department,Executive Office for Immigration Review,"Justice, Department of",Executive Office for Immigration Review,,,,,Department of Justice,"Criminal Division, Asset Forfeiture and Money Laundering Section (AFMLS)",Department of Justice,"Criminal Division, Asset Forfeiture and Money Laundering Section (AFMLS)",Office of Professional Responsibility,15,4,,Department of Justice,Drug Enforcement Administration,,
Department of Justice,General Administration    ,Department of Justice,Federal Bureau of Investigation,DEPARTMENT OF JUSTICE DJ,OFFICE OF JUSTICE PROGRAMS DJ07,Justice Department,Federal Bureau of Investigation,"Justice, Department of",Federal Prison Industries,,,,,Department of Justice,Department of Justice,Department of Justice,Department of Justice,Office of the Attorney General,15,5,,Department of Justice,Executive Office for Immigration Review,,
Department of Justice,Interagency Law Enforcement    ,Department of Justice,"Federal Prison Industries, Incorporated",DEPARTMENT OF JUSTICE DJ,U.S. MARSHALS SERVICE DJ08,Justice Department,Federal Prison Industries,"Justice, Department of",Foreign Claims Settlement Commission of the United States,,,,,Department of Justice,"Department of Justice, Civil Division",Department of Justice,"Department of Justice, National Institute of Corrections",Office of Associate Attorney General,15,6,,Department of Justice,Executive Office for United States Attorneys,,
Department of Justice,Legal Activities and U.S. Marshals    ,Department of Justice,Office of Justice Programs,DEPARTMENT OF JUSTICE DJ,EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS DJ09,Justice Department,Foreign Claims Settlement Commission,"Justice, Department of",Offices of Independent Counsel,,,,,Department of Justice,"Department of Justice, National Institute of Corrections",Department of Justice,"Department of Justice, Office of e-Government",Civil Division,15,7,,Department of Justice,Executive Office for United States Trustees,,
Department of Justice,National Security Division    ,Department of Justice,United States Marshals Service,DEPARTMENT OF JUSTICE DJ,OFFICE OF THE INSPECTOR GENERAL DJ10,Justice Department,Immigration and Naturalization Service,,,,,,,Department of Justice,"Department of Justice, Office of e-Government",Department of Justice,Drug Enforcement Administration,INTERPOL - United States National Central Bureau,15,8,,Department of Justice,Federal Bureau of Investigation,,
Department of Justice,Office of Justice Programs    ,Department of Justice,,DEPARTMENT OF JUSTICE DJ,U.S. TRUSTEE PROGRAM DJ11,Justice Department,Justice Programs Office,,,,,,,Department of Justice,Drug Enforcement Administration,Department of Justice,Executive Office for Immigration Review,Civil Rights Division,15,9,,Department of Justice,Foreign Claims Settlement Commission,,
Department of Justice,Radiation Exposure Compensation,,,DEPARTMENT OF JUSTICE DJ,EXECUTIVE OFFICE FOR IMMIGRATION REVIEW DJ12,Justice Department,Juvenile Justice and Delinquency Prevention Office,,,,,,,Department of Justice,FBI CJIS,Department of Justice,Federal Bureau of Investigation,Office of Legislative Affairs,15,10,,Department of Justice,Office of Justice Programs,,
Department of Justice,United States Parole Commission    ,,,DEPARTMENT OF JUSTICE DJ,COMMUNITY RELATIONS SERVICE DJ14,Justice Department,National Institute of Corrections,,,,,,,Department of Justice,Federal Bureau of Investigation,Department of Justice,Federal Bureau of Prisons,Criminal Division,15,11,,Department of Justice,Office on Violence Against Women,,
,,,,DEPARTMENT OF JUSTICE DJ,"BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES DJ15",Justice Department,National Institute of Justice,,,,,,,Department of Justice,Federal Bureau of Prisons,Department of Justice,Internet Crime Complaint Center,Office of the Deputy Attorney General,15,12,,Department of Justice,United States Marshals Service,,
,,,,,,Justice Department,Parole Commission,,,,,,,Department of Justice,Federal Prison Industries,Department of Justice,Justice Management Division,Federal Bureau of Investigation,15,13,,Department of Justice,United States Parole Commission,,
,,,,,,Justice Department,Prisons Bureau,,,,,,,Department of Justice,Institute for Intergovernmental Research,Department of Justice,Office of Community Oriented Policing Services,"Federal Prison Industries, Inc.",15,14,,Department of Justice,,,
,,,,,,Justice Department,United States Marshals Service,,,,,,,Department of Justice,Internet Crime Complaint Center,Department of Justice,Office of Justice Programs,Immigration and Naturalization Service,15,15,,,,,
,,,,,,,,,,,,,,Department of Justice,Justice Management Division,Department of Justice,"Office of Justice Programs, JG - service",National Institute of Corrections,15,16,,,,,
,,,,,,,,,,,,,,Department of Justice,National Virtual Translation Center,Department of Justice,Office of the Chief Information Officer,Environment and Natural Resources Division,15,17,,,,,
,,,,,,,,,,,,,,Department of Justice,Office of Justice Programs,Department of Justice,Office of the Inspector General,Office of Legal Counsel,15,18,,,,,
,,,,,,,,,,,,,,Department of Justice,Office of the Chief Information Officer,Department of Justice,RCFL,Bureau of Prisons,15,19,,,,,
,,,,,,,,,,,,,,Department of Justice,RCFL,Department of Justice,U.S Immigration and Customs Enforcement,Office of the Solicitor General,15,20,,,,,
,,,,,,,,,,,,,,Department of Justice,Terrorist Screening Center,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",Tax Division,15,21,,,,,
,,,,,,,,,,,,,,Department of Justice,U.S Immigration and Customs Enforcement,Department of Justice,"U.S. Department of Justice, National Security Division",Office of Public Affairs,15,22,,,,,
,,,,,,,,,,,,,,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",Department of Justice,U.S. Marshals Service,Telecommunications Services and Computer Services Staffs,15,23,,,,,
,,,,,,,,,,,,,,Department of Justice,"U.S. Department of Justice, FBI, LEO",Department of Justice,Unicor,Pardon Attorney,15,24,,,,,
,,,,,,,,,,,,,,Department of Justice,"U.S. Department of Justice, National Security Division",,,United States Marshals Service,15,25,,,,,
,,,,,,,,,,,,,,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",,,Executive Office for Immigration Review,15,26,,,,,
,,,,,,,,,,,,,,Department of Justice,U.S. Marshals Service,,,Office of Policy Development,15,27,,,,,
,,,,,,,,,,,,,,Department of Justice,Unicor,,,Office of Justice Programs,15,28,,,,,
,,,,,,,,,,,,,,,,,,Community Relations Service,15,29,,,,,
,,,,,,,,,,,,,,,,,,Information Systems Staff,15,30,,,,,
,,,,,,,,,,,,,,,,,,United States Parole Commission,15,31,,,,,
,,,,,,,,,,,,,,,,,,Drug Enforcement Administration,15,32,,,,,
,,,,,,,,,,,,,,,,,,Office of Intelligence Policy and Review,15,33,,,,,
,,,,,,,,,,,,,,,,,,Office of the Special Prosecutor,15,34,,,,,
,,,,,,,,,,,,,,,,,,Office of U.S. Attorneys,15,35,,,,,
,,,,,,,,,,,,,,,,,,Foreign Claims Settlement Commission,15,36,,,,,
,,,,,,,,,,,,,,,,,,Office of Special Counsel Related to Unfair Employment Practices,15,37,,,,,
,,,,,,,,,,,,,,,,,,Office of Intergovernmental Affairs,15,38,,,,,
,,,,,,,,,,,,,,,,,,Office of Inspector General,15,39,,,,,
,,,,,,,,,,,,,,,,,,Civil Liberties Public Ed. Fund Board of Dir.,15,40,,,,,
,,,,,,,,,,,,,,,,,,Consolidated Communications Network,15,41,,,,,
,,,,,,,,,,,,,,,,,,National Drug Intelligence Center,15,42,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Office on Violence Against Women,15,44,,,,,
,,,,,,,,,,,,,,,,,,National Prison Rape Elimination Commission (NPREC),15,46,,,,,
,,,,,,,,,,,,,,,,,,Government Contractors (Exp. Code - Use Code 1599),15,51,,,,,
,,,,,,,,,,,,,,,,,,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",15,93,,,,,
Department of Labor,Bureau of Labor Statistics    ,Department of Labor,Bureau of International Labor Affairs,DEPARTMENT OF LABOR DL,OFFICE OF THE SECRETARY OF LABOR DLAA,Labor Department,,"Labor, Department of",--,Department of Labor,Department of Labor,U.S. Department of Labor,Department of Labor,Department of Labor,Bureau of International Labor Affairs,Department of Labor,Bureau of Labor Statistics,Department of Labor,16,0,"Labor, Dept of (DOL)",Department of Labor,Bureau of International Labor Affairs,Department of Labor,Department of Labor
Department of Labor,Department of Labor    ,Department of Labor,Bureau of Labor Statistics,DEPARTMENT OF LABOR DL,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT DLAM,Labor Department,Benefits Review Board,"Labor, Department of",Benefits Review Board,,,,,Department of Labor,Bureau of Labor Statistics,Department of Labor,Employee Benefits Security Administration,Assistant Secretary for Administration and Management,16,2,,Department of Labor,Bureau of Labor Statistics,,
Department of Labor,Departmental Management    ,Department of Labor,Employee Benefits Security Administration,DEPARTMENT OF LABOR DL,BUREAU OF INTERNATIONAL LABOR AFFAIRS DLBL,Labor Department,Disability Employment Policy Office,"Labor, Department of",Employee Benefits Security Administration,,,,,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Department of Labor,Employment and Training Administration (ETA),Mine Safety and Health Administration,16,3,,Department of Labor,Employee Benefits Security Administration,,
